"niveau","code","intitulé"
"***","LV02a","- accentuation,"
"***","LV02b","- mélodies,"
"***","LV02c","- rythmes propres à la langue apprise."
"**",,"Utiliser des formes élémentaires : "
"***","LV03a","- phrase simple"
"***","LV03b","- conjonctions de coordination."
"**","LV04","Connaître l’orthographe des mots utilisés."
"**","LV05","Connaître les modes de vie du pays."
"*",,"SCIENCES EXPÉRIMENTALES ET TECHNOLOGIE"
"**",,"Le ciel et la Terre"
"***","ST01a","Le mouvement de la Terre (et des planètes) autour du Soleil, la rotation de la Terre sur elle-même."
"***","ST01b","La durée du jour et son changement au cours des saisons."
"***","ST02","Le mouvement de la Lune autour de la Terre."
"***","ST03","Lumières et ombres."
"***","ST04","Volcans et séismes, les risques pour les sociétés humaines."
"**",,"La matière"
"***",,"L'eau"
"****","ST05a","L’eau : une ressource."
"****","ST05b","Les états et changements d’état."
"****","ST05c","Le trajet de l’eau dans la nature."
"****","ST05d","Le maintien de sa qualité pour ses utilisations."
"***","ST06","L’air et les pollutions de l’air."
"***","ST07","Mélanges et solutions."
"***","ST08","Les déchets : réduire, réutiliser, recycler."
"**",,"L’énergie"
"***","ST09","Exemples simples de sources d’énergies (fossiles ou renouvelables)."
"***","ST10","Besoins en énergie, consommation et économie d’énergie."
"**",,"L’unité et la diversité du vivant"
"***","ST11","Présentation de la biodiversité : recherche de différences entre espèces vivantes."
"***","ST12","Présentation de l’unité du vivant : recherche de points communs entre espèces vivantes."
"***","ST13","Présentation de la classification du vivant : interprétation de ressemblances et différences en termes de parenté."
"**",,"Le fonctionnement du vivant"
"***","ST14","Les stades du développement d’un être vivant (végétal ou animal)."
"***","ST15","Les conditions de développement des végétaux et des animaux."
"***","ST16","Les modes de reproduction des êtres vivants."
"**",,"Le fonctionnement du corps humain et la santé"
"***","ST17","Les mouvements corporels (les muscles, les os du squelette, les articulations)."
"***","ST18","Première approche des fonctions de nutrition : digestion, respiration et circulation sanguine."
"***","ST19","Reproduction de l’Homme et éducation à la sexualité."
"***","ST20","Hygiène et santé : actions bénéfiques ou nocives de nos comportements, notamment dans le domaine du sport, de l’alimentation, du sommeil."
"**",,"Les êtres vivants dans leur environnement"
"***","ST21","L’adaptation des êtres vivants aux conditions du milieu."
"***","ST22","Places et rôles des êtres vivants ; notions de chaînes et de réseaux alimentaires."
"***","ST23","L’évolution d’un environnement géré par l’Homme : la forêt ; importance de la biodiversité."
"**",,"Les objets techniques"
"***","ST24","Circuits électriques alimentés par des piles."
"***","ST25","Règles de sécurité, dangers de l’électricité."
"***","ST26","Leviers et balances, équilibres."
"***","ST27","Objets mécaniques, transmission de mouvements."
"*",,"CULTURE HUMANISTE"
"**",,"HISTOIRE"
"***",,"La Préhistoire"
"****","HI01","Les premières traces de vie humaine, la maîtrise du feu et les débuts de l’agriculture, l’apparition de l’art."
"****","HI02","L’homme de Tautavel il y a près de 500 000 ans ; Lascaux il y a 17 000 ans."
"***",,"L’Antiquité"
"****","HI03","Les Gaulois, la romanisation de la Gaule et la christianisation du monde gallo-romain."
"****","HI04a","- Jules César et Vercingétorix ; "
"****","HI04b","- 52 avant notre ère : Alésia."
"***",,"Le Moyen Âge"
"****","HI05","Après les invasions, la naissance et le développement du royaume de France."
"****","HI06","Les relations entre seigneurs et paysans, le rôle de l’Église."
"****","HI07","Conflits et échanges en Méditerranée : les Croisades, la découverte d’une autre civilisation, l’Islam."
"****","HI08","La guerre de Cent Ans."
"****","HI09a","- 496 : baptême de Clovis ;"
"****","HI09b","- 800 : couronnement de Charlemagne ;"
"****","HI09c","- 987 : Hugues Capet, roi de France ;"
"****","HI09d","- Saint Louis ;"
"****","HI09e","- Jeanne d’Arc."
"***",,"Les Temps modernes"
"****","HI10","Le temps des Découvertes et des premiers empires coloniaux, la traite des Noirs et l’esclavage."
"****","HI11","La Renaissance : les arts, quelques découvertes scientifiques, catholiques et protestants."
"****","HI12","Louis XIV un monarque absolu."
"****","HI13","Les Lumières."
"****","HI14a","- Gutenberg ; "
"****","HI14b","- 1492 : Christophe Colomb en Amérique ;"
"****","HI14c","- François Ier ;"
"****","HI14d","- Copernic ;"
"****","HI14e","- Galilée ;"
"****","HI14f","- Henri IV et l’édit de Nantes ;"
"****","HI14g","- Richelieu ;"
"****","HI14h","- Louis XIV, Voltaire, Rousseau."
"***",,"La Révolution française et le XIXème siècle"
"****","HI15","La Révolution française et le Premier empire : l’aspiration à la liberté et à l’égalité, la Terreur, les grandes réformes de Napoléon Bonaparte."
"****","HI16","La France dans une Europe en expansion industrielle et urbaine : le temps du travail en usine, des progrès techniques, des colonies et de l’émigration."
"****","HI17","L’installation de la démocratie et de la République."
"****","HI18a","- Louis XVI ; "
"****","HI18b","- 14 juillet 1789 : prise de la Bastille ;"
"****","HI18c","- 26 août 1789 : Déclaration des droits de l’Homme et  du citoyen ;"
"****","HI18d","- 22 septembre 1792 : proclamation de la République ;"
"****","HI18e","- 1804 : Napoléon Ier, empereur des Français ;"
"****","HI18f","- 1848 : suffrage universel masculin et abolition de l’esclavage ;"
"****","HI18g","- 1882 : Jules Ferry et l’école gratuite, laïque et obligatoire ;"
"****","HI18h","- Pasteur ;"
"****","HI18i","- Marie Curie ;"
"****","HI18j","- 1905 : loi de séparation des Églises et de l’État."
"***",,"Le XXème siècle et notre époque"
"****",,"La violence du XXème siècle"
"*****","HI19a","- les deux conflits mondiaux ;"
"*****","HI19b","- l’extermination des Juifs et des Tziganes par les nazis : un crime contre l’humanité."
"****","HI20","La révolution scientifique et technologique, la société de consommation."
"****","HI21","La Vème République."
"****","HI22","La construction européenne."
"****","HI23a","- 1916 : bataille de Verdun,"
"****","HI23b","- Clemenceau,"
"****","HI23c","- 11 novembre 1918 : armistice de la Grande Guerre,"
"****","HI23d","- 18 juin 1940 : appel du général de Gaulle,"
"****","HI23e","-Jean Moulin,"
"****","HI23f","- 8 mai 1945 : fin de la Seconde Guerre mondiale en Europe,"
"****","HI23g","- 1945 : droit de vote des femmes en France,"
"****","HI23h","- 1957 : traité de Rome,"
"****","HI23i","- 1958 : Charles de Gaulle et la fondation de la Vème République,"
"****","HI23j","- 1989 : chute du mur de Berlin,"
"****","HI23k","- 2002 : l’euro, monnaie européenne."
"**",,"GÉOGRAPHIE"
"***",,"Des réalités géographiques locales à la région où vivent les élèves"
"****","GE01","Les paysages de village, de ville ou de quartier, la circulation des hommes et des biens, les principales activités économiques ;"
"****","GE02","Un sujet d’étude au choix permettant une première approche du développement durable : l’eau dans la commune (besoins et traitement) ou les déchets (réduction et recyclage)."
"****","GE03","Le département et la région."
"***",,"Le territoire français dans l’Union européenne"
"****","GE04","Les grands types de paysages."
"****","GE05","La diversité des régions françaises."
"****","GE06","Les frontières de la France et les pays de l’Union européenne."
"****","GE07","Principaux caractères du relief, de l’hydrographie et du climat en France et en Europe : étude de cartes."
"****","GE08","Le découpage administratif de la France (départements, régions) : étude de cartes."
"****","GE09","Les pays de l’Union européenne : étude de cartes."
"***",,"Les Français dans le contexte européen"
"****","GE10","La répartition de la population sur le territoire national et en Europe."
"****","GE11","Les principales villes en France et en Europe."
"****","GE12","Répartition de la population et localisation des principales villes : étude de cartes."
"***",,"Se déplacer en France et en Europe"
"****","GE13","Un aéroport."
"****","GE14","Le réseau autoroutier et le réseau TGV."
"****","GE15","Le réseau ferré à grande vitesse en Europe : étude de cartes."
"***",,"Produire en France"
"****","GE16","Quatre types d’espaces d’activités : une zone industrialo-portuaire, un centre tertiaire, un espace agricole et une zone de tourisme."
"***",,"La France dans le monde"
"****","GE17","Les territoires français dans le monde."
"****","GE18","La langue française dans le monde."
"**",,"PRATIQUES ARTISTIQUES"
"***",,"Arts visuels"
"****","PA01","Acquérir des savoirs et des techniques spécifiques."
"****","PA02","Cerner la notion d’œuvre d’art."
"****","PA03","Distinguer la valeur d’usage de la valeur esthétique des objets étudiés."
"***",,"Éducation musicale"
"****","PA04","S’exercer à comparer des œuvres musicales."
"****","PA05","Découvrir la variété des genres et des styles selon les époques et les cultures."
"****","PA06","Percevoir et identifier des éléments musicaux caractéristiques de la musique écoutée."
"**",,"HISTOIRE DE L'ART"
"***","HA01","Se situer parmi les productions artistiques de l’humanité et les différentes cultures considérées dans le temps et dans l’espace."
"***","HA02","Découvrir les richesses, la permanence et l’universalité de la création artistique."
"***","HA03","Éveiller sa curiosité pour les chefs-d’œuvre ou les activités artistiques de leur ville ou de leur région."
"***",,"La Préhistoire et l’Antiquité gallo-romaine"
"****","HA04","Architecture préhistorique (un ensemble mégalithique) et antique (des monuments gallo-romains)."
"****","HA05","Une mosaïque gallo-romaine."
"****","HA06","Peintures de Lascaux ; une sculpture antique."
"***",,"Le Moyen Âge"
"****","HA07","Architecture religieuse (une église romane ; une église gothique ; une mosquée ; une abbaye) ; bâtiments et sites militaires et civils (un château fort ; une cité fortifiée ; une maison à colombage)."
"****","HA08","Un extrait d’un roman de chevalerie."
"****","HA09","Un costume, un vitrail, une tapisserie."
"****","HA10","Musique religieuse (un chant grégorien) et musique profane (une chanson de troubadour)."
"****","HA11","Une fête et un spectacle de la culture populaire et nobiliaire (le carnaval, le tournoi)."
"****","HA12","Une fresque ; une sculpture romane ; une sculpture gothique ; un manuscrit enluminé."
"***",,"Les Temps modernes"
"****","HA13","Une architecture royale (un château de la Loire, Versailles), une architecture militaire (une fortification) ; une place urbaine ; un jardin à la française."
"****","HA14","Des poésies de la Renaissance ; un conte ou une fable de l’époque classique."
"****","HA15","Une pièce de mobilier et de costume ; un moyen de transport ; une tapisserie."
"****","HA16","Musique instrumentale et vocale du répertoire baroque et classique (une symphonie ; une œuvre vocale religieuse)."
"****","HA17","Une chanson du répertoire populaire."
"****","HA18","Un extrait de pièce de théâtre."
"****","HA19","Des peintures et sculptures de la Renaissance, des XVIIème et XVIIIème siècles (Italie, Flandres, France)."
"***",,"Le XIXème siècle"
"****","HA20","Une architecture industrielle (une gare)."
"****","HA21","Urbanisme : un plan de ville."
"****","HA22","Des récits, des poésies."
"****","HA23","Des éléments de mobilier et de décoration et d’arts de la table (Sèvres, Limoges)."
"****","HA24","Extraits musicaux de l’époque romantique (symphonie, opéra)."
"****","HA25","Un extrait de pièce de théâtre, de ballet."
"****","HA26","Quelques œuvres illustrant les principaux mouvements picturaux (romantisme, réalisme, impressionnisme) ; un maître de la sculpture ; un court-métrage des débuts du cinématographe ; des photographies d’époque."
"***",,"Le XXème siècle et notre époque"
"****","HA27","Architecture : ouvrages d’art et habitat."
"****","HA28","Des récits, nouvelles, récits illustrés, poésies."
"****","HA29","Design graphique (une affiche) ; design de transport (un train)."
"****","HA30","Des musiques du XXème siècle (dont jazz, musiques de films, chansons)."
"****","HA31","Spectacle de mime, de cirque, de théâtre ; un extrait d’un spectacle de danse moderne ou contemporaine."
"****","HA32","Quelques œuvres illustrant les principaux mouvements picturaux contemporains ; une sculpture ; des œuvres cinématographiques (dont le cinéma muet) et photographiques ; des œuvres cinématographiques illustrant les différentes périodes historiques."
"*",,"TECHNIQUES USUELLES DE L’INFORMATION ET DE LA COMMUNICATION"
"**","TC01","S’approprier un environnement informatique de travail."
"**","TC02","Adopter une attitude responsable."
"**","TC03","Créer, produire, traiter, exploiter des données."
"**","TC04","S’informer, se documenter."
"**","TC05","Communiquer, échanger."
"**","TC06","Maîtriser les fonctions de base d’un ordinateur : "
"***","TC06a","- fonction des différents éléments, "
"***","TC06b","- utilisation de la souris, du clavier."
"**","TC07a","Utiliser un traitement de texte."
"**","TC07b","Écrire un document numérique."
"**","TC07c","Envoyer et recevoir des messages."
"**","TC08a","Effectuer une recherche en ligne."
"**","TC08b","Identifier et trier des informations."
"*",,"INSTRUCTION CIVIQUE ET MORALE"
"**","IC01","S’intégrer à la collectivité de la classe et de l’école."
"**","IC02","Réfléchir sur les problèmes concrets posés par sa vie d’écolier."
"**","IC03","Prendre conscience de manière plus explicite des fondements même de la morale : "
"***","IC03a","- les liens qui existent entre la liberté personnelle et les contraintes de la vie sociale, "
"***","IC03b","- la responsabilité de ses actes ou de son comportement,"
"***","IC03c","- le respect de valeurs partagées,"
"***","IC03d","- l’importance de la politesse et du respect d’autrui."
"**","IC04","Identifier et comprendre l’importance des valeurs, des textes fondateurs, des symboles de la République française et de l’Union européenne, notamment la Déclaration des droits de l’Homme et du citoyen."
