"niveau","code","intitulé"
"+",,"AGIR ET S’EXPRIMER AVEC SON CORPS"
"++","AG01","Découvrir les possibilités de son corps :"
"+++","AG01a","- apprendre à agir en toute sécurité tout en acceptant de prendre des risques mesurés"
"+++","AG01b","- à fournir des efforts tout en modulant son énergie."
"++","AG02","???"
"+++","AG02a","Exprimer ce qu'on ressent."
"+++","AG02b","Nommer les activités et les objets manipulés ou utilisés."
"+++","AG02c","Dire ce qu’il a envie de faire."
"++","AG03","Progresser et prendre conscience des nouvelles possibilités acquises."
"++","AG04","Développer ses capacités motrices dans :"
"+++","AG04a","- des déplacements (courir, ramper, sauter, rouler, glisser, grimper, nager...),"
"+++","AG04b","- des équilibres,"
"+++","AG04c","- des manipulations (agiter, tirer, pousser),"
"+++","AG04d","- des projections et réceptions d’objets (lancer, recevoir)."
"++","AG05","Coordonner des actions et les enchaîner."
"++","AG06","Adapter sa conduite motrice en vue de l’efficacité et de la précision du geste."
"++","AG07","???"
"+++","AG07a","Dans la pratique d'activités qui  comportent des règles, développer des capacités d'adaptation et de coopération."
"+++","AG07b","Comprendre et accepter l'intérêt et les contraintes des situations collectives."
"++","AG08","Dans la pratique d'activités d'expression à visée artistique"
"+++","AG08a","- maîtriser le geste,"
"+++","AG08b","- développer son imagination."
"++","AG09","Acquérir une image orientée de son propre corps."
"++","AG10","Distinguer ce qui est"
"+++","AG10a","- devant,"
"+++","AG10b","- derrière,"
"+++","AG10c","- au-dessus,"
"+++","AG10d","- au-dessous,"
"+++","AG10e","- à droite,"
"+++","AG10f","- à gauche,"
"+++","AG10g","- loin,"
"+++","AG10h","- près."
"++","AG12","???"
"+++","AG12a","Apprendre à suivre des parcours élaborés par l'enseignant ou proposés par eux."
"+++","AG12b","Verbaliser ces déplacements."
"+++","AG12c","Représenter ces déplacements."
"+",,"DÉCOUVRIR LE MONDE"
"++",,"Découvrir les objets"
"+++","DM01","Découvrir les objets techniques usuels (lampe de poche, téléphone, ordinateur...)."
"+++","DM02","Comprendre leur usage et leur fonctionnement:"
"++++","DM02a","- à quoi ils servent,"
"++++","DM02b","- comment on les utilise,"
"+++","DM03","Prendre conscience du caractère dangereux de certains objets."
"+++","DM04","Fabriquer des objets en utilisant des matériaux divers."
"+++","DM05","Choisir des outils et des techniques adaptés au projet (couper, coller, plier, assembler, clouer, monter et démonter ...)."
"++",,"Découvrir la matière"
"+++","DM06","En coupant, en modelant, en assemblant, en agissant sur les matériaux usuels, repérer les  caractéristiques simples de :"
"++++","DM06a","- le bois,"
"++++","DM06b","- la terre,"
"++++","DM06c","- le papier,"
"++++","DM06d","- le carton,"
"++++","DM06e","- l’eau."
"+++","DM07","Prendre conscience de réalités moins visibles comme l’existence de l’air."
"+++","DM08","Commencer à percevoir les changements d’état de l’eau."
"++",,"Découvrir le vivant"
"+++","DM09","Observer les différentes manifestations de la vie."
"+++","DM10","Découvrir, à travers des élevages et des plantations le cycle que constituent"
"++++","DM10a","- la naissance,"
"++++","DM10b","- la croissance,"
"++++","DM10c","- la reproduction,"
"++++","DM10d","- le vieillissement,"
"++++","DM10e","- la mort."
"+++","DM11","Découvrir"
"++++","DM11a","- les parties du corps : leurs caractéristiques et leurs fonctions,"
"++++","DM11b","- les cinq sens : leurs caractéristiques et leurs fonctions."
"+++","DM12","Apprendre les règles élémentaires de l’hygiène du corps et la santé, notamment à la nutrition."
"+++","DM13","Apprendre à respecter la vie, être sensibilisé aux problèmes de l’environnement."
"++",,"Découvrir les formes et les grandeurs"
"+++","DM14","En manipulant des objets variés, repérer d’abord des propriétés simples :"
"++++","DM14a","- petit/grand,"
"++++","DM14b","- lourd/léger."
"+++","DM15","Comparer et classer selon"
"++++","DM15a","- la forme,"
"++++","DM15b","- la taille,"
"++++","DM15c","- la masse,"
"++++","DM15d","- la contenance."
"++",,"Approcher les quantités et les nombres"
"+++","DM16","Découvrir et comprendre les fonctions du nombre, en particulier comme"
"++++","DM16a","- représentation de la quantité,"
"++++","DM16b","- moyen de repérer des positions dans une liste ordonnée d’objets."
"+++","DM17","Dépasser une approche perceptive globale des collections"
"+++","DM18","???"
"++++","DM18a","Acquérir la suite des nombres au moins jusqu’à 30."
"++++","DM18b","Apprendre à l’utiliser pour dénombrer."
"+++","DM19","???"
"++++","DM19a","Établir une première correspondance entre la désignation orale et l’écriture chiffrée"
"++++","DM19b","Savoir tracer des chiffres."
"++",,"Se repérer dans le temps"
"+++","DM20","Percevoir, grâce à une organisation régulière de l’emploi du temps, la succession"
"++++","DM20a","- des moments de la journée,"
"++++","DM20b","- des jours,"
"++++","DM20c","- des mois."
"+++","DM21","Comprendre l’aspect cyclique de"
"++++","DM21a","certains phénomènes (les saisons)"
"++++","DM21b","- des représentations du temps (la semaine, le mois)."
"+++","DM22","Utiliser des calendriers, des horloges, des sabliers pour"
"++++","DM22a","- se repérer dans la chronologie,"
"++++","DM22b","- mesurer des durées."
"+++","DM23","Par le récit d’événements du passé, par l’observation du patrimoine familier (objets conservés dans la famille...), distinguer"
"++++","DM23a","- l’immédiat du passé proche,"
"++++","DM23b","- l'immédiat du passé plus lointain, avec encore des difficultés."
"++",,"Se repérer dans l’espace"
"+++","DM24","Apprendre à se déplacer"
"++++","DM24a","- dans l’espace de l’école,"
"++++","DM24b","- dans son environnement immédiat."
"+++","DM25","Se situer par rapport"
"++++","DM25a","- à des objets,"
"++++","DM25b","- à d’autres personnes"
"+++","DM26","Situer des objets ou des personnes :"
"++++","DM26a","- les uns par rapport aux autres,"
"++++","DM26b","- par rapport à d’autres repère."
"+++","DM27","Distinguer sa gauche et sa droite."
"+++","DM28","Effectuer des itinéraires en fonction de consignes variées et en rendre compte (récits, représentations graphiques)."
"+++","DM29","Se repérer :"
"++++","DM29a","- dans l’espace d’une page,"
"++++","DM29b","- d’une feuille de papier,"
"++++","DM29c","- sur une ligne orientée."
"+",,"PERCEVOIR, SENTIR, IMAGINER, CRÉER"
"++","IM01","Développer ses facultés d’attention et de concentration à travers des activités visuelles et tactiles, auditives et vocales."
"++","IM02","Se familiariser, par l’écoute et l’observation, avec les formes d’expression artistique les plus variées."
"++","IM03","Éprouver des émotions."
"++","IM04","Acquérir des premiers repères dans l’univers de la création."
"++","IM05","Exprimer des réactions, des goûts et des choix dans l’échange avec les autres."
"++","IM06","Expérimenter les divers instruments, supports et procédés du dessin."
"++","IM07","Découvrir, utiliser et réaliser des images et des objets de natures variées."
"++","IM08","Construire des objets en utilisant peinture, papiers collés, collage en relief, assemblage, modelage..."
"++","IM09","Exprimer ce qu’on perçoit, évoquer ses projets et ses réalisations."
"++","IM10","Utiliser, pour ce faire, un vocabulaire adapté."
"++","IM12","Commencer une collection personnelle d’objets à valeur esthétique et affective."
"++","IM13","Chanter pour le plaisir, en accompagnement d’autres activités."
"++","IM14","Apprendre à chanter en chœur."
"++","IM15","Inventer des chants et jouer avec sa voix, avec les bruits, avec les rythmes."
"++","IM16","Écouter :"
"+++","IM16a","- pour le plaisir,"
"+++","IM16b","- pour reproduire,"
"+++","IM16c","- pour bouger,"
"+++","IM16d","- pour jouer."
"++","IM17","???"
"+++","IM17a","Apprendre à caractériser le timbre, l’intensité, la durée, la hauteur par comparaison et imitation."
"+++","IM17b","Apprendre à qualifier ces caractéristiques."
"++","IM18","Écouter des œuvres musicales variées."
"++","IM19","Rechercher des possibilités sonores nouvelles en utilisant des instruments."
"++","IM20","Maîtriser peu à peu le rythme et le tempo."
